"(Excl. Tax)","(Impuesto no incluido)"
"Loading next step...","Cargando el siguiente paso..."
"Login","Entrar"
"Maximum qty allowed for Shipping to multiple addresses is %s","La cantidad máxima de envíos para múltiples direcciones es  %s"
"Move","Mover"
"Move to Wishlist","A la lista de deseos"
"My Cart","Mi cesta"
"My Cart (%s item)","Mi carrito (%s artículos)"
"My Cart (%s items)","Mi carrito (%s artículos)"
"My Cart Link","Link zu meinem Warenkorb"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"No Payment Methods","No hay métodos de pago"
"One Page Checkout","Una Página de Pago"
"Order #","Pedido nº "
"Order Review","Revisión de la orden"
"Order Success","Bestellung erfolgt"
"Password","Contraseña"
"Payment Failed Email Reciever","Email del receptor para pagos fallidos"
"Payment Failed Email Sender","Fehlgeschlagene Zahlung - eMail-Absender"
"Payment Failed Emails","Fehlgeschlagene Zahlung - eMail"
"Payment Failed Template","Fehlgeschlagene Zahlung - eMail-Vorlage"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Realizar pedido"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Favor de aceptar todas las condiciones y terminos de pago antes de poner sus pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Please choose to register or to checkout as a guest","Escoja registrarse o como invitado para realizar su pago por favor"
"Please log in below:","Por favor inicie sesión debajo:"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Please select shipping address for applicable items","Favor de seleccionar la dirección de envío para artículos aplicables"
"Please select shipping methods for all addresses","Por favor seleccione métodos de envío para todas las direcciones"
"Please specify payment method.","Especifique método de pago por favor."
"Please specify shipping method.","Especifique método de envío por favor."
"Price","Precio"
"Proceed to Checkout","Tramitar pedido"
"Product","Producto"
"Product Name","Nombre del producto"
"Products","Productos"
"Qty","Cant"
"Qty:","Cant:"
"Quantity","Cantidad"
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"Recently added item(s)","Artículo(s) recientemente añandido(s)"
"Register","Registrar"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para una mejor conveniencia:"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Eliminar artículo"
"Review Order","Revisar pedido"
"Review Order - %s","Revisar pedido - %s"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales","Ventas"
"Save Condition","Guardar condición"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"Select Address","Seleccionar dirección"
"Select Addresses","Seleccione direcciones"
"Select Shipping Method","Versandart auswählen"
"Select State/Province...","Seleccionar el Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de cobro de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Sende Zahlungsfehler in Kopie (Methode)"
"Send Payment Failed Email Copy To","Sende Zahlungsfehler in Kopie an eMail"
"Send To","Senden an"
"Separate by "","".","Separados por "",""."
"Ship to Multiple Addresses","Envíos a múltiples direcciones"
"Ship to different address","Enviar a diferentes direcciones"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping To","Versenden an"
"Shipping method has not been selected yet","El método de envío aún no ha sido seleccionado"
"Shopping Cart","Carrito de compras"
"Shopping Cart Sidebar","Barra lateral del Carrito de compra"
"Shopping Cart is Empty","El carrito de compra está vacío"
"Show Content as","Mostrar contenido como"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Disculpe, el pago de invitado no esta habilitado. Por favor, contacte al encargado de la tienda."
"Sorry, no quotes are available for this order at this time.","Disculpa, no hay cotizaciones disponibles para este pedido en este momento."
"State/Province","Estado/provincia"
"Status","Estatus"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Submitting order information...","Enviando la información del pedido..."
"Telephone","Teléfono"
"Terms and Conditions","Términos y condiciones"
"Terms and Conditions Information","Términos y condiciones Información"
"Terms and conditions","Condiciones y Términos"
"Text","Texto"
"Thank you for your purchase!","Gracias por su compra!"
"The product does not exist.","El producto no existe."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor contáctenos o intente mas tarde."
"This condition no longer exists.","Esta condición ya no existe."
"Total for this address","Gesamtbetrag für diese Adresse"
"Unit Price","Precio Unitario"
"Update","Actualizar"
"Update Cart","Actualizar carrito"
"Update Qty &amp; Addresses","Stückzahlen und Adressen aktualisieren"
"Update Shopping Cart","Actualizar carrito"
"Update Total","Actualizar total"
"Use Billing Address","Usar dirección de cobro"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver Carrito de Compras"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y en breve recibirá un Email con los detalles de su pedido. Una vez que su pedido fue enviada, usted recibirá otro correo electrónico con un link para seguir su proceso."
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tienes ningún artículo en tu carrito."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Usted recibirá un Email confirmando el pedido con los detalles y un enlace para seguir su proceso."
"Your Checkout Progress","El progreso de su pago"
"Your order number is ","El número de su pedido es "
"Zip/Postal Code","Código Postal"
"or","o"
