"-- Please Select --","--Seleccione--"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL base termina con '/' (barra diagonal), ejem: http://yourdomain/magento/"
"Manage Stores","Gestionar tiendas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expresiones en el mismo orden como se muestra en la configuración."
"Media Storage","Almacenamiento de medios"
"Merge CSS Files","Combinar archivos CSS"
"Merge JavaScript Files","Combinar archivos de JavaScript"
"Miscellaneous HTML","Diverso HTML"
"Name","Nombre"
"New Design Change","Diseño de Cambio Nuevo"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"New Website","Sitio Web Nuevo"
"No","No 	"
"Offloader header","Liberador de carga de cabecera"
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"Package","Paquete"
"Pagination","Paginación"
"Pagination Frame","Marco de la paginación"
"Pagination Frame Skip","Saltar Marco Paginación"
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Please define flag code.","Defina código de bandera por favor."
"Please enter a number 0 or greater in this field.","Por favor, introduzca 0 o un número mayor en este campo."
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad válida en $. Por ejemplo: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor ingrese una URL válida. Por ejemplo http://www.example.com"
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid email address. For example johndoe@domain.com.","por favor, ingrese una Dirección de Email válido. Por ejemplo johndoe@domain.com."
"Please enter a valid month (1-12).","Introduce un mes válido (1-12)."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor ingrese un número de seguridad sociual válido, por ejemplo 123456789."
"Please enter a valid zip code.","Por favor, introduzca un código postal (C. P.) válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Ingrese el número de problema o la fecha de inicio para el tipo de tarjeta conmutador / solo."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Selecciona un estado/provincia."
"Please select an option.","Por favor selecciona una opción."
"Please select one of the above options.","Por favor seleccione una de las opciones de arriba."
"Please select one of the options.","Selecciona una de las opciones."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use sólo letras (a-z o A-Z) en este campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use solo letras (a-z), números (0-9) o guión bajo (_) en este campo, el primer carácter debe ser una letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Por favor espere, cargando..."
"Polls","Encuestas"
"Port (25)","Puerto (25)"
"Profiler","Perfil"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"Requested invalid store ""%s""","Tienda solicitada inválida ""%s"""
"Return-Path Email","Correo electrónico de ruta de retorno"
"Root Category","Categoría raíz"
"Sales Representative","Representante de ventas"
"Save","Guardar"
"Save Store","Guardar la tienda"
"Save Store View","Guardar vista de tienda"
"Save Website","Guardar Página Web"
"Search Engines Optimization","Optimización de los motores de búsqueda"
"Secure","Segura"
"Security","Seguridad"
"Select Date","Seleccionar fechas"
"Select Media Database","Seleccionar banco de datos para medios"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Services","Servicios"
"Session Validation Settings","Ajustes de validación de sesión"
"Set Return-Path","Establecer ruta de retorno"
"Set as Default","Establecer por defecto"
"Sort Order","Orden de aparición"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Fecha/hora especificada ""%1$s"" no coincide con el formato ""%2$s""."
"Startup Page","Página de inicio"
"Status","Estatus"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Store","Tienda"
"Store Email Addresses","Direcciones de correo electrónico de la tienda"
"Store Hours of Operation","Horario de la tienda"
"Store Information","Información de la tienda"
"Store Name","Nombre de la tienda"
"Store View","Vista de la tienda"
"Store View Information","Información de la Vista de Tienda"
"Store View Name","Nombre de Vista de Tienda"
"Store view doesn't exist","La vista de tienda no existe"
"Store with the same code","Tienda con el mismo código"
"System","Sistema"
"System Log File Name","Nombre de Archivo del Sistema de Registro"
"Template Path Hints","Ruta Sugerida para Plantilla"
"Template Settings","Configuración de la Plantilla"
"Template Variables","Plantillas Variables"
"Templates","Plantillas"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","La %s que ingreso es inválida. Asegurece que siga el formato ""http://domain.com/"" por favor."
"The store does not exist","La tienda no existe"
"The value is not within the specified range.","El valor no está dentro del rango especificado."
"The website does not exist.","El sitio web no existe."
"Themes","Temas"
"This category and all its child elements","Esta categoría y todos sus elementos hijos"
"This category and its child categories only","Esta categoría y todos sus elementos hijos únicamente"
"This category and its products only","Esta categoría y sus productos únicamente"
"This category only","Sólo esta categoría"
"This is a required field.","Este campo es obligatorio."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"This website cannot be deleted.","No se puede eliminar el sitio web."
"This will be included before head closing tag in page HTML.","Esto se incluirá antes de la etiqueta de cierre de cabecera en el HTML de la página."
"Timezone","Zona horaria"
"Title Prefix","Título del Prefijo"
"Title Suffix","Título del Sufijo"
"Transactional Emails","Correos electrónicos transaccionales"
"Translate Inline","Traducir en línea"
"Translations","Traducciones"
"Unable to delete store view. Please, try again later.","Imposible de eliminar la vista de tienda. Inténtelo de nuevo más tarde por favor."
"Unable to delete store. Please, try again later.","Imposible de eliminar la tienda. Inténtelo de nuevo más tarde por favor."
"Unable to delete website. Please, try again later.","Imposible de eliminar el sitio web. Inténtelo de nuevo más tarde por favor."
"Unable to proceed. Please, try again","No se puede proceder. Por favor, inténtelo de nuevo"
"Unsecure","Anular la seguridad"
"Url Options","Opciones de dirección Url"
"Use Custom Admin Path","Utilizar ruta de acceso del administrador personalizada"
"Use Custom Admin URL","Utilizar URL de administración personalizada"
"Use HTTP Only","Utilizar sólo HTTP"
"None","Ninguno"
"Use Secure URLs in Admin","Utilizar URLs seguras en la parte de administración"
"Use Secure URLs in Frontend","Utilizar URLs seguras en Frontend"
"Use Web Server Rewrites","Utilizar las reescrituras del servidor web"
"VAT Number","Número de IVA"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","La validación ha fallado."
"Variable Code must be unique.","El código de variable debe ser único."
"Website","Página web"
"Website Information","Información del Sitio Web"
"Website Name","Nombre del Sitio Web"
"Website with the same code","Ya existe un sitio web con el mismo código"
"Weekend Days","Días fin de semana"
"Welcome Text","Texto de bienvenida"
"Wrong file info format","Formato de información del archivo incorrecto"
"Wrong number of arguments for %s","Número erróneo de argumentos para %s"
"Yes","Sí"
