"* Required Fields","* აუცილებელი ველები"
"Please agree to all Terms and Conditions before placing the order.","გთხოვთ გაეცნოთ და დაეთანხმოთ ყველა წესსა და პირობას შეკვეთის გაფორმებამდე."
"Please agree to all Terms and Conditions before placing the orders.","გთხოვთ გაეცნოთ და დაეთანხმოთ ყველა წესსა და პირობას შეკვეთის გაფორმებამდე."
"Please log in below:","შედით თქვენს ანგარიშზე:"
"Please select region, state or province","გთხოვთ აირჩიოთ რეგიონი, შტატი ან პროვინცია"
"Please select shipping address for applicable items","გთხოვთ მიუთითოთ პროდუქციის შესაბამისი მიმღების მისამართები"
"Please select shipping methods for all addresses","გთხოვთ აირჩიოთ მიწოდების მეთოდი ყველა მისამართისთვის"
"Proceed to Checkout","შეკვეთის გაგრძელება"
"Product Name","პროდუქტის დასახელება"
"Qty:","რაოდენობა:"
"Recently added item(s)","ბოლოს დამატებულები"
"Register","რეგისტრაცია"
"Register and save time!","რეგისტრაციით დაზოგავთ დროს!"
"Register to Create an Account","ანგარიშის გასახსნელად საჭიროა რეგისტრაცია"
"Register with us for future convenience:","სამომავლო მოხერხებულობისათვის უმჯობესია დარეგისტრირდეთ:"
"Remove Item","წაშლა"
"Remove This Item","ჩანაწერის წასშლა"
"Remove item","წაშლა"
"Review Order","შეკვეთის გადახედვა"
"Review Order - %s","შეკვეთის გადახედვა - %s"
"Save Condition","პირობის შენახვა"
"Save in address book","მისამართების წიგნში შენახვა"
"Select Address","მისამართის არჩევა"
"Select Addresses","მისამართების არჩევა"
"Select Shipping Method","მიწოდების მეთოდის არჩევა"
"Select a billing address from your address book or enter a new address.","აირჩიეთ გადამხდელის მისამართი თქვენი მისამართების წიგნიდან ან დაამატეთ ახალი."
"Select a shipping address from your address book or enter a new address.","აირჩიეთ მიმღების მისამართი თქვენი მისამართების წიგნიდან ან დაამატეთ ახალი."
"Ship to Multiple Addresses","რამოდენიმე მისამართზე გაგზავნა"
"Ship to different address","სხვა მისამართზე გაგზავნა"
"Ship to this address","ამავე მისამართზე გაგზავნა"
"Shipping Address","მიმღების მისამართი"
"Shipping Information","მიმღების ინფორმაცია"
"Shipping Method","მიწოდების მეთოდი"
"Shipping Methods","გაგზავნის მეთოდები"
"Shipping method has not been selected yet","მიწოდების მეთოდი არ არის არჩეული"
"Shopping Cart","სავაჭრო კალათა"
"Shopping Cart is Empty","კალათა ცარიელია"
"Show Content as","შიგთავსის ჩვენება როგორც"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","სამწუხაროდ სტუმრის სტატუსით შეკვეთა შეზღუდულია. გთხოვთ სცადეთ ხელახლა ან დაუკავშირდით მაღაზიას."
"State/Province","რეგიონი/შტატი"
"Submitting order information...","მიმდინარეობს შეკვეთის განთავსება..."
"Telephone","ტელეფონი"
"Thank you for your purchase!","დიდი მადლობა შენაძენისათვის!"
"There was an error processing your order. Please contact us or try again later.","თქვენი შეკვეთის დამუშავებისას დაფიქსირდა შეცდომა. გთხოვთ დაგვიკავშირდით ან ახლიდან სცადეთ მოგვიანებით."
"Total for this address","სულ ღირებულება ამ მისამართზე"
"Unit Price","ერთეულის ფასი"
"Update Qty &amp; Addresses","მისამართებისა და რაოდენობის განახლება"
"Update Shopping Cart","კალათის განახლება"
"Update Total","საერთო ღირებულების განახლება"
"Use Billing Address","გადამხდელის მისამართის გამოყენება"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","თქვენი შეკვეთა დამუშავების პროცესშია და მალე მიიღებთ წერილს შეკვეთის დეტალებით. შეკვეთილი პროდუქციის გამოგზავნისთანავე თქვენ მიიღებთ დამატებით წერილს გზავნილის სტატუსის თვალყურის სადევნებელი ბმულით."
"You have no items in your shopping cart.","სავაჭრო კალათა ცარიელია."
"You will receive an order confirmation email with details of your order and a link to track its progress.","თქვენ მიიღებთ შეკვეთის დამადასტურებელ წერილს თქვენი შეკვეთის დეტალებითა და სტატუსის თვალყურის სადევნებელი ბმულით"
"Your Checkout Progress","შეკვეთის მიმდინარეობა"
"Your order number is ","თქვენი შეკვეთის ნომერია"
