" [deleted]"," [xóa]"
"Customer Shopping Carts","Giỏ hàng của Khách hàng"
"Customer Tax Classes","Các lớp về thuế khách hàng"
"Customers","Khách hàng"
"Customers by Number of Orders","Khách hàng bằng số lượng đơn đặt hàng"
"Customers by Orders Total","Khách hàng theo tổng cộng đơn đặt hàng"
"Dashboard","Bảng điều khiển"
"Database","Cơ sở dũ liệu"
"Date","Ngày"
"Date & Time","Ngày & Giờ"
"Date Added","Ngày Được Thêm"
"Date selector","Chọn ngày"
"Day","Ngày"
"Debug","Sửa Lỗi"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Config","Cấu hình mặc định"
"Default Values","Giá trị mặc định"
"Default scope","Phạm vi mặc định"
"Delete","Xóa bỏ"
"Delete Block","Xóa khối"
"Delete File","Xoá tập tin"
"Delete Image","Xóa hình"
"Delete Role","Xoá vai trò"
"Delete Store","Xóa cửa hàng"
"Delete Store View","Xóa cửa hàng"
"Delete Template","Xóa mẫu"
"Delete User","Xóa người dùng"
"Description","Mô tả"
"Design","Thiết kế"
"Details","Chi tiết"
"Disable","Vô hiệu hóa"
"Disabled","Vô hiệu hóa"
"Display default currency","Hiển thị tiền tệ mặc định"
"Download","Tải về"
"Downloads","Tải về"
"Edit","Chỉnh sửa"
"Edit Block","Chỉnh sửa khối"
"Edit Block '%s'","Sửa Block '%s'"
"Edit Design Change","Sửa thay đổi thiết kế"
"Edit Email Template","Chỉnh sửa mẫu Email"
"Edit Order","Chỉnh sửa đơn đặt hàng"
"Edit Queue","Chỉnh sửa danh sách chờ"
"Edit Review","Sửa đánh giá"
"Edit Role","Chỉnh sửa vai trò"
"Edit Store View","Sửa thông tin cửa hàng"
"Edit System Template","Chỉnh sửa hệ thống mẫu"
"Edit Template","Chỉnh sửa mẫu"
"Edit URL Rewrite","Chỉnh sửa URL"
"Edit User","Sửa người dùng"
"Email Address:","Địa chỉ email:"
"Email to a Friend","Email cho bạn bè"
"Enable","Kích hoạt"
"Enabled","Cho phép"
"Entity Attributes","Thuộc tính tổ chức"
"Entity Type","Loại thực thể"
"Entity type:","Loại thực thể:"
"Error","Lỗi"
"Excl. Tax","Chưa bao gồm thuế"
"Exclude media folder from backup","Ngoại trừ thư mục phương tiện từ sao lưu"
"Expiration Date","Ngày hết hạn"
"Export","Xuất"
"Export CSV","Xuất CSV"
"Export to:","Xuất khẩu đến:"
"FTP Host[:Port]","Máy chủ FTP [: port]"
"FTP Login","Đăng nhập FTP"
"FTP Password","Mật khẩu FTPsign in"
"FTP credentials","Giấy chứng nhận FTP"
"Failed","Thất bại"
"File","Tệp"
"File System","Hệ thống tập tin"
"First Invoice Created Date","Ngày cập nhật Hóa đơn đầu tiên"
"First Name","Tên"
"First Name:","Tên:"
"Fixed","Cố định"
"Flush Catalog Images Cache","Xóa danh mục hình ảnh bộ đệm"
"Flush JavaScript/CSS Cache","Xóa bộ đệm JavaScript/CSS"
"Forgot your password?","Bạn quên mật khẩu?"
"From","Từ"
"General Information","Thông tin chung"
"Global Search","Tìm kiếm toàn cầu"
"Go Today","Đến ngày hôm nay"
"Go to Top","Về đầu trang"
"Grand Total","Tổng số"
"Grid (default) / List","Lưới (mặc định) / danh sách"
"Grid Only","Chỉ lưới"
"Guest","Khách"
"HTTP (unsecure)","HTTP (không đảm bảo)"
"Home","Trang chủ"
"IP Address","Địa chỉ IP"
"IPN (Instant Payment Notification) Only","Chỉ IPN (thanh toán ngay lập tức thông báo)"
"Images (.gif, .jpg, .png)","Hình ảnh (.gif, .jpg, .png)"
"Images Cache","Hình ảnh Cache"
"Import","Nhập"
"Import Service","Dịch vụ nhập khẩu"
"Import and Export Tax Rates","Thuế suất xuất nhập khẩu"
"Import/Export","Nhập/Xuất"
"Important: ","Quan trọng: "
"Inactive","Không hoạt động"
"Incl. Tax","Đã bao gồm thuế"
"Incoming Message","Thư đến"
"Insert Variable...","Chèn biến..."
"Invalid Form Key. Please refresh the page.","Form Key không hợp lệ. Xin vui lòng làm mới trang."
"Invalid data","Dữ liệu không hợp lệ"
"Invalid parent block for this block","Khối này có khối mẹ không hợp lệ"
"Invalidated","Không có hiệu lực"
"Inventory Stock Status","Tình trạng cổ phiếu tồn"
"Invoice History","Lịch sử hoá đơn"
"Invoice Totals","Tổng số hóa đơn"
"Invoices","Hoá đơn"
"Is Closed","Đóng cửa"
"Is Default","Mặc định Is"
"Issue Number","Số phát hành"
"Items","Sản phẩm"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu trong trình duyệt của bạn."
"JavaScript/CSS Cache","Bộ đệm JavaScript/CSS"
"Last 24 Hours","24 giờ cuối"
"Last 7 Days","7 ngày cuối"
"Last Credit Memo Created Date","Ngày tạo ghi nhớ tín dụng cuối cùng"
"Last Invoice Created Date","Ngày Cập Nhật Hóa đơn cuối cùng"
"Last Logged In:","Đăng nhập lần cuối:"
"Last Name","Họ"
"Last Name:","Họ:"
"Lifetime Sales","Khoảng đời doanh số"
"Links","Liên kết"
"List (default) / Grid","Danh sách (mặc định) / lưới"
"List Only","Chỉ liệt kê"
"Load Template","Tải Mẫu"
"Loading...","Đang tải..."
"Local Server","Máy chủ địa phương"
"Locale","Ngôn ngữ và khu vực"
"Login","Đăng nhập"
"Low Stock","Còn ít hàng"
"Magento root directory","Thư mục OpenMage gốc"
"Manage Attribute Sets","Quản lý các bộ thuộc tính"
"Manage Categories","Quản lý danh mục"
"Manage Currency Rates","Quản lý các tỷ giá ngoại tệ"
"Manage Customers","Quản lý khách hàng"
"Manage Ratings","Quản lý các xếp hạng"
"Manage Stores","Quản lý cửa hàng"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Titles (Size, Color, etc.)","Quản lý danh hiệu (kích thước, màu sắc, vv)"
"Manual","Thủ công"
"Maximum sender name length is 255. Please correct your settings.","Độ dài tên người gửi tối đa là 255. Xin vui lòng sửa các cài đặt của bạn."
"Media (.avi, .flv, .swf)","Phương tiện (.avi, .flv, .swf)"
"Messages Inbox","Hộp thư"
"Month","Tháng"
"Most Viewed","Được xem nhiều nhất"
"Most Viewed Products","Sản phẩm được xem nhiều nhất"
"Multiple Select","Nhiều lựa chọn"
"My Account","Tài khoản của tôi"
"N/A","Không xác định"
"Name","Tên"
"Never (production)","Không bao giờ (sản xuất)"
"New ","Mới "
"New Accounts","Tài khoản mới"
"New Attribute","Thuộc tính mới"
"New Block","Khối mới"
"New Category","Nhóm mới"
"New Condition","điều kiện mới"
"New Custom Variable","Biến tùy chỉnh mới"
"New Customer","Khách hàng mới"
"New Customers","Khách hàng mới"
"New Email Template","Mẫu Email mới"
"New Group","Nhóm Mới"
"New Invoice","Hóa đơn mới"
"New Memo","Ghi nhớ Mới"
"New Page","Trang mới"
"New Password","Mật khẩu mới"
"New Rating","Xếp hạng mới"
"New Review","Đánh giá mới"
"New Role","Vai trò mới"
"New Rule","Quy tắc mới"
"New Search","Tìm kiếm mới"
"New Set","Thiết lập mới"
"New Shipment","Lô hàng mới"
"New Sitemap","Sơ đồ trang web mới"
"New Store View","Cửa hàng mới"
"New System Template","Mẫu hệ thống mới"
"New Template","Mẫu mới"
"New User","Người dùng mới"
"Newsletter","Bản tin"
"Newsletter Queue","Hàng Bản tin"
"Newsletter Subscribers","Người đăng kí Bản tin"
"Newsletter Templates","Mẫu bản tin"
"No","Không"
"No (price without tax)","Không có (giá không có thuế)"
"No Data","Không có dữ liệu"
"No Data Found","Không tìm thấy tài liệu nào"
"No Templates Found","Không có bản mẫu được tìm thấy"
"No change","Không thay đổi"
"No records found.","Không có hồ sơ tìm thấy."
"No search modules were registered","Không có mô-đun tìm kiếm được đăng ký"
"None","Không cái nào"
"Note:","Lưu ý:"
"Notifications","Các thông báo"
"Number of Orders","Số lượng đơn đặt hàng"
"Number of Uses","Số lần sử dụng"
"OK","Đồng ý"
"Old rate:","Giá cũ:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Một khi bạn đăng nhập vào tài khoản PayPal nâng cao, điều hướng trình đơn cài đặt dịch vụ - tổ chức trang thanh toán - thiết lập và thiết lập tùy chọn mô tả dưới đây"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Một khi bạn đăng nhập vào tài khoản PayPal nâng cao, điều hướng trình đơn cài đặt dịch vụ - tổ chức trang thanh toán - thiết lập và thiết lập tùy chọn mô tả dưới đây"
"Online Customers","Khách hàng trực tuyến"
"Only Once (version upgrade)","Chỉ một lần (Phiên bản nâng cấp)"
"Optional","Tùy chọn"
"Options","Tùy chọn"
"Order","Đơn hàng"
"Order ID","ID đặt hàng"
"Order Totals","Tổng số đơn hàng"
"Orders","Đơn hàng"
"Out of stock","Tạm hết hàng"
"Pages","Các trang"
"Parent Product Thumbnail","Sản phẩm cha thu nhỏ"
"Parent Transaction ID","ID giao dịch mẹ"
"Password","Mật khẩu"
"Password Confirmation","Xác nhận mật khẩu"
"Password:","Mật khẩu:"
"Pending Reviews","Chờ đánh giá"
"Per Item","Cho mỗi mục"
"Per Order","Một đơn đặt hàng"
"Percent","Phần trăm"
"Period","Thời gian"
"Permanent (301)","Vĩnh viễn (301)"
"Permissions","Quyền"
"Personal Information","Thông tin cá nhân"
"Please Select","Vui lòng chọn"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vui lòng xác nhận việc chuyển trang web. Tất cả dữ liệu chưa được lưu sẽ bị mất."
"Please enter a number greater than 0 in this field.","Vui lòng nhập một số lớn hơn 0 trong trường này."
"Please enter a valid $ amount. For example $100.00.","Vui lòng nhập một số tiền hợp lệ. Ví dụ: 100,00 $."
"Please enter a valid credit card number.","Vui lòng nhập một số thẻ tín dụng hợp lệ."
"Please enter a valid date.","Vui lòng nhập ngày hợp lệ."
"Please enter a valid email.","Vui lòng nhập email hợp lệ."
"Please enter a valid number in this field.","Vui lòng nhập một số hợp lệ trong lĩnh vực này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng nhập một số điện thoại hợp lệ. ví dụ: (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid value, ex: 10,20,30","Vui lòng nhập một giá trị hợp lệ, ví dụ: 10,20,30"
"Please enter a valid zip code.","Vui lòng nhập mã zip hợp lệ."
"Please make sure that all global admin search modules are installed and activated.","Vui lòng chắc chắn rằng tất cả quản trị mô-đun tìm kiếm được thiết lập và kích hoạt."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"Please select State/Province.","Vui lòng chọn tiểu bang/tỉnh."
"Please select an option.","Xin vui lòng chọn một tùy chọn."
"Please select customer(s).","Vui lòng chọn khách hàng."
"Please select one of the options.","Vui lòng chọn một trong các tùy chọn này."
"Please select review(s).","Vui lòng chọn đánh giá."
"Please specify the admin custom URL.","Xin vui lòng ghi rõ quản trị viên tuỳ chỉnh URL."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Vui lòng chỉ dùng các ký tự (a-z or A-Z), số (0-9) hoặc dấu cách trong vùng này."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Xin vui lòng sử dụng định dạng ngày tháng này: dd/mm/yyyy. Ví dụ: 17/03/2006 cho 17 Tháng ba, 2006."
"Please wait...","Vui lòng chờ..."
"Position","Vị trí"
"Preview","Xem trước"
"Preview Template","Xem trước mẫu"
"Price","Giá"
"Price:","Giá:"
"Processing","Đang tiến hành"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Product Thumbnail Itself","Sản phẩm thu nhỏ của nó"
"Product:","Sản phẩm:"
"Products","Các sản phẩm"
"Products Bestsellers Report","Báo cáo Sản phẩm bán chạy nhất"
"Products Most Viewed Report","Báo cáo sản phẩm xem nhiều nhất"
"Products Ordered","Sản phẩm đặt hàng"
"Products in Carts","Sản phẩm trong giỏ hàng"
"Promo","Quảng cáo"
"Promotions","Khuyến mãi"
"Quantity","Số lượng"
"Rebuild","Thiết lập lại"
"Rebuild Catalog Index","Thiết lập lại danh mục chỉ mục"
"Rebuild Flat Catalog Category","Thiết lập lại danh mục mặt hàng phẳng"
"Rebuild Flat Catalog Product","Thiết lập lại danh mục sản phẩm phẳng"
"Recent Orders","Đơn đặt hàng gần đây"
"Recent statistics have been updated.","Thống kê gần đây đã được Cập Nhật."
"Reference ID","ID tham khảo"
"Refresh","Tải lại"
"Refresh Statistics","Làm mới các số liệu thống kê"
"Region/State","Vùng/Khu vực"
"Reload captcha","Tải lại captcha"
"Remote FTP","FTP từ xa"
"Remove","Loại bỏ"
"Reports","Báo cáo"
"Request Path","Đường dẫn yêu cầu"
"Required","Bắt buộc"
"Reset","Thiết lập lại"
"Reset Filter","Thiết lập lại bộ lọc"
"Reset Password","Đặt lại mật khẩu"
"Reset a Password","Đặt lại mật khẩu"
"Resource Access","Truy cập tài nguyên"
"Resources","Tài nguyên"
"Results","Kết quả"
"Retrieve Password","Lấy lại mật khẩu"
"Return Html Version","Trở lại phiên bản Html"
"Revenue","Doanh thu"
"Reviews","Các đánh giá"
"Role Info","Thông tin vai trò"
"Role Information","Thông tin vai trò"
"Role Name","Tên vai trò"
"Role Resources","Tài nguyên vai trò"
"Role Users","Vai trò người dùng"
"Roles","Vai trò"
"Roles Resources","Tài nguyên vai trò"
"Root Category","Mặt hàng gốc"
"Run","Chạy"
"SKU","MÃ SẢN PHẨM"
"Sales","Doanh số"
"Sales Report","Báo cáo doanh số"
"Samples","Mẫu"
"Save","Lưu lại"
"Save & Generate","Lưu trữ & tạo"
"Save Account","Lưu tài khoản"
"Save Cache Settings","Lưu thiết lập đệm"
"Save Config","Lưu Config"
"Save Currency Rates","Tiết kiệm tỷ giá ngoại tệ"
"Save Role","Lưu vai trò"
"Save Template","Lưu mẫu"
"Save User","Lưu người dùng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Search","Tìm kiếm"
"Search Index","Tìm chỉ mục"
"Search Term","Cụm từ tìm kiếm"
"Search Terms","Cụm từ tìm kiếm"
"Search entire store here...","Tìm toàn bộ cửa hàng ở đây..."
"Select","Chọn"
"Select All","Chọn tất cả"
"Select Category","Chọn nhóm"
"Select Date","Chọn ngày"
"Sender","Người gửi"
"Separate Email","Email riêng biệt"
"Shipment Comments","Bình luận Vận chuyển"
"Shipment History","Lịch sử vận chuyển"
"Shipments","Lô hàng"
"Shipping","Vận chuyển"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Address: ","Địa chỉ giao hàng: "
"Shipping Origin","Nguồn gốc vận chuyển"
"Shipping Price","Giá vận chuyển"
"Shopping Cart","Giỏ mua hàng"
"Show By","Hiển thị bằng"
"Show Report For:","Hiển thị các báo cáo cho:"
"Show Reviews","Hiển thị giá"
"Sitemap Information","Thông tin Sơ đồ trang web"
"Skip Category Selection","Bỏ qua lựa chọn nhóm"
"Specific Countries","Quốc gia cụ thể"
"Specified","Quy định"
"Start Date","Ngày bắt đầu"
"Static Blocks","Khối tĩnh"
"Status","Trạng thái"
"Status:","Trạng thái:"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Stores","Cửa hàng"
"Subject","Chủ đề"
"Submit","Gửi"
"Subtotal","Tổng phụ"
"Switch/Solo/Maestro Only","Chỉ dùng thẻ Switch/Solo/Maestro"
"Synchronize","Đồng bộ hóa"
"Synchronizing...","Đang đồng bộ hóa..."
"System","Hệ thống"
"Tags","Các Thẻ Gắn"
"Target Path","Con đường mục tiêu"
"Tax","Thuế"
"Template","Mẫu"
"Template Content","Nội dung bản mẫu"
"Template Information","Thông tin mẫu"
"Template Name","Tên mẫu"
"Template Styles","Mẫu phong cách"
"Template Subject","Chủ đề mẫu"
"Template Type","Loại mẫu"
"Temporary (302)","Tạm thời (302)"
"Terms and Conditions","Điều khoản và điều kiện"
"Text","Nội dung"
"The JavaScript/CSS cache has been cleaned.","Bộ đệm JavaScript/CSS đã bị xóa."
"The OpenMage cache storage has been flushed.","Bộ nhớ đệm OpenMage đã bị xóa."
"The URL Rewrite has been saved.","Chỉnh sửa URL đã được lưu."
"The attribute set has been removed.","Thiết lập thuộc tính đã được gỡ bỏ."
"The credit memo has been canceled.","Ghi nhớ tín dụng đã bị hủy bỏ."
"The image cache was cleaned.","Hình ảnh bộ đệm đã bị xóa."
"The invoice has been captured.","Hóa đơn đã được chụp."
"The invoice has been created.","Hoá đơn đã được tạo ra."
"The invoice has been voided.","Hoá đơn đã được bỏ trống."
"The order no longer exists.","Đơn hàng này không còn tồn tại."
"The shipment has been created.","Lô hàng đã được tạo ra."
"The transaction details have been updated.","Các chi tiết giao dịch đã được Cập Nhật."
"There is an error in one of the option rows.","Đó là lỗi trong các tùy chọn hàng."
"This account is","Tài khoản này"
"This action cannot be undone.","Thao tác này không được thực hiện."
"This block no longer exists.","Khối này không còn tồn tại."
"This is a required field.","Đây là trường bắt buộc."
"This user no longer exists.","Người dùng này không còn tồn tại."
"Time","Thời gian"
"To","Đến"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Để sử dụng liên kết PayPal Payflow, bạn phải cấu hình tài khoản PayPal Payflow liên kết trên các trang web PayPal."
"Tools","Công cụ"
"Total","Tổng"
"Total Invoiced","Tổng số lập hoá đơn"
"Total Refunded","Tổng số trả lại"
"Track Order","Theo dõi các đơn đặt hàng"
"Track this shipment","Theo dõi lô hàng này"
"Transaction Data","Dữ liệu giao dịch"
"Transaction Details","Chi tiết giao dịch"
"Transaction ID","ID giao dịch"
"Transaction Type","Loại giao dịch"
"Transactional Emails","Email giao dịch"
"Transactions","Sổ giao dịch"
"Type","Loại"
"Type:","Loại:"
"URL Rewrite Information","Thông tin chỉnh sửa URL"
"URL Rewrite Management","Quản lý viết lại mã URL"
"Unknown","Không xác định"
"Unlimited","Không giới hạn"
"Update","Cập nhật"
"Updated At","Cập nhật lúc"
"Upload File","Tải lên tập tin"
"Upload Files","Tải lên tập tin"
"Use All Available Attributes","Sử dụng tất cả các thuộc tính có sẵn"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"Use Default","Sử dụng mặc định"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Default Variable Values","Sử dụng giá trị biến mặc định"
"Use FTP Connection","Sử dụng kết nối FTP"
"Use Website","Sử dụng Website"
"User Email","Email người dùng"
"User ID","ID người dùng"
"User Info","Thông tin người dùng"
"User Information","Thông tin người dùng"
"User Name","Tên người dùng"
"User Password","Mật khẩu người dùng"
"User Role","Vai trò người dùng"
"User Roles","Vai trò người dùng"
"User Roles Information","Thông tin vai trò người dùng"
"Users","Người dùng"
"Validation Results","Xác nhận kết quả"
"Value","Giá trị"
"Variable","Biến"
"Variable Code","Thay đổi mã"
"Variable HTML Value","Thay đổi giá trị HTML"
"Variable ID","ID có thể thay đổi"
"Variable Name","Thay đổi tên"
"Variable Plain Value","Thay đổi giá trị Plain"
"View Full Size","Xem kích thước đầy đủ"
"View Statistics For:","Thông tin số liệu cho:"
"Warning","Cảnh báo"
"Website","Trang web"
"What is this?","Đây là gì?"
"Year","Năm"
"Yes","Có"
"Yes (301 Moved Permanently)","Có (301 di chuyển vĩnh viễn)"
"Yes (302 Found)","Có (302 tìm thấy)"
"Yes (only price with tax)","Có (chỉ giá với thuế)"
"You cannot delete your own account.","Bạn không thể xóa tài khoản của bạn."
"You have logged out.","Bạn đã thoát tài khoản."
"Your password reset link has expired.","Liên kết đặt lại mật khẩu của bạn đã hết hạn."
"Zip/Postal Code","Mã bưu chính"
"[ deleted ]","[ xóa ]"
"[GLOBAL]","[Toàn hệ thống]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"close","đóng"
"critical","nghiêm trọng"
"example: sitemap.xml","ví dụ: sitemap.xml"
"failed","Thất bại"
"from","từ"
"major","chính"
"minor","nhỏ"
"notice","chú ý"
"successful","Thành công"
"to","đến"
