"-- Please Select --","-- Vui lòng chọn --"
"Logo Image Alt","Hình ảnh Logo thay thế"
"Mail Sending Settings","Cấu Hình Gửi Thư"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Đảm bảo rằng đường dẫn cơ sở base URL kết thúc bằng '/' (dấu gạch chéo), ví dụ: http://yourdomain/magento/"
"Manage Stores","Quản lý cửa hàng"
"Media Storage","Phương tiện lưu trữ"
"Merge CSS Files","Sát Nhập Các File CSS"
"Merge JavaScript Files","Sát Nhập Các File JavaScript"
"Miscellaneous HTML","Linh tinh HTML"
"Name","Tên"
"New Store","Cửa hàng mới"
"New Store View","Cửa hàng mới"
"No","Không"
"Offloader header","Giảm Tải Đầu Trang"
"PHP SOAP extension is required.","Phần mở rộng SOAP PHP là bắt buộc."
"Package","Gói"
"Pagination","Phân Chia Trang"
"Pagination Frame","Khung Phân Chia Trang"
"Pagination Frame Skip","Bỏ Qua Khung Phân Chia Tran g"
"Path ""%value%"" is not available and cannot be used.","Đường dẫn ""%value%"" là không có sẵn và không thể được sử dụng."
"Path ""%value%"" is protected and cannot be used.","Đường dẫn ""%value%"" được bảo vệ và không thể được sử dụng."
"Please enter a number 0 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 0 vào trường này."
"Please enter a number 1 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 1 vào trường này."
"Please enter a number greater than 0 in this field.","Vui lòng nhập một số lớn hơn 0 trong trường này."
"Please enter a valid $ amount. For example $100.00.","Vui lòng nhập một số tiền hợp lệ. Ví dụ: 100,00 $."
"Please enter a valid credit card number.","Vui lòng nhập một số thẻ tín dụng hợp lệ."
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Please enter a valid date.","Vui lòng nhập ngày hợp lệ."
"Please enter a valid month (1-12).","Vui lòng nhập một tháng hợp lệ (1-12)."
"Please enter a valid number in this field.","Vui lòng nhập một số hợp lệ trong lĩnh vực này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng nhập một số điện thoại hợp lệ. ví dụ: (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid zip code.","Vui lòng nhập mã zip hợp lệ."
"Please enter issue number or start date for switch/solo card type.","Hãy nhập số hoặc ngày bắt đầu cho loại thẻ switch/solo."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"Please select State/Province.","Vui lòng chọn tiểu bang/tỉnh."
"Please select an option.","Xin vui lòng chọn một tùy chọn."
"Please select one of the options.","Vui lòng chọn một trong các tùy chọn này."
"Please set available and/or protected paths list(s) before validation.","Xin vui lòng thiết lập danh sách đường dẫn có sẵn và/hoặc được bảo vệ trước khi xác nhận."
"Please use letters only (a-z or A-Z) in this field.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z) trong trường này."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Xin vui lòng sử dụng định dạng ngày tháng này: dd/mm/yyyy. Ví dụ: 17/03/2006 cho 17 Tháng ba, 2006."
"Port (25)","Cổng (25)"
"Recovery Link Expiration Period (hours)","Thời gian hết hạn liên kết Phục hồi (giờ)"
"Request Path for Specified Store","Yêu cầu đường dẫn cho các cửa hàng được chỉ định"
"Return-Path Email","Đường Dẫn Quay Lại Email"
"Root Category","Mặt hàng gốc"
"Sales Representative","Đại Diện Bán Hàng"
"Save","Lưu lại"
"Save Store","Lưu cửa hàng"
"Save Store View","Lưu cửa hàng"
"Security","Bảo Mật"
"Select Date","Chọn ngày"
"Select Media Database","Chọn cơ sở dữ liệu phương tiện"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Services","Các Dịch Vụ"
"Session Validation Settings","Cấu Hình Phiên Xác Nhận"
"Set Return-Path","Thiết Lập Đường Dẫn Quay Lại (Return-Path)"
"Set as Default","Thiết lập về mặc định"
"Sort Order","Thứ tự sắp xếp"
"Startup Page","Trang Khởi Động"
"Status","Trạng thái"
"Storage Configuration for Media","Lưu trữ cấu hình cho Phương tiện"
"Store","Cửa hàng"
"Store Email Addresses","Địa Chỉ Email của Cửa Hàng"
"Store Hours of Operation","Giờ Hoạt Động của Cửa Hàng"
"Store Information","Thông tin cửa hàng"
"Store Name","Tên cửa hàng"
"Store View","Xem cửa hàng"
"Store View Information","Thông tin cửa hàng"
"Store with the same code","Cửa hàng với mã giống nhau"
"System","Hệ thống"
"Template Settings","Các Cấu Hình Mẫu Template"
"Template Variables","Mẫu biến"
"The store does not exist","Cửa hàng không tồn tại"
"The value is not within the specified range.","Giá trị không phải là trong phạm vi được chỉ định."
"The website does not exist.","Trang web không tồn tại."
"Themes","Giao diện"
"This is a required field.","Đây là trường bắt buộc."
"This store cannot be deleted.","Không thể xóa cửa hàng này."
"This store view cannot be deleted.","Không thể xóa cửa hàng."
"This website cannot be deleted.","Không thể xóa trang web này."
"This will be included before head closing tag in page HTML.","Điều này sẽ được bao gồm trước khi đóng cửa từ khóa trong trang HTML."
"Timezone","Múi Giờ"
"Transactional Emails","Email giao dịch"
"Translate Inline","Dịch Trực Tiếp Inline"
"Translations","Bản dịch"
"Url Options","Các Tùy Chọn của Đường Dẫn URL"
"Use Custom Admin Path","Sử Dụng Đường Dẫn Path Tùy Biến cho Quản Trị Viên"
"Use Custom Admin URL","Sử Dụng Đường Dẫn URL Tùy Biến cho Quản Trị Viên"
"Use HTTP Only","Chỉ sử dụng HTTP"
"None","Không cái nào"
"Use Secure URLs in Admin","Sử Dụng Các Đường Dẫn URL Bảo Mật cho Phần Quản Trị"
"Use Web Server Rewrites","Sử Dụng Máy Chủ Web Server Ghi Đè"
"VAT Number","Số VAT"
"Validate HTTP_USER_AGENT","Xác Nhận HTTP_USER_AGENT"
"Validate HTTP_VIA","Xác Nhận HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Xác Nhận HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Xác Nhận REMOTE_ADDR"
"Validation has failed.","Xác nhận đã thất bại."
"Variable Code must be unique.","Mã thay đổi phải là duy nhất."
"Website","Trang web"
"Website with the same code","Các trang web với cùng mã"
"Weekend Days","Các Ngày Cuối Tuần"
"Welcome Text","Chào mừng bạn đến văn bản"
"Wrong file info format","Định dạng thông tin sai"
"Yes","Có"
