"* Required Fields","* Bắt buộc"
"Please enter the state/province.","Vui lòng nhập tiểu bang/tỉnh."
"Please enter the street.","Vui lòng nhập tên đường."
"Please enter the zip/postal code.","Vui lòng nhập mã bưu chính."
"Please enter your email.","Vui lòng nhập email của bạn."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"Please select region, state or province","Vui lòng chọn khu vực"
"Prefix Dropdown Options","Tiền tố tùy chọn trình đơn xổ dọc"
"Price","Giá"
"Product","Sản phẩm"
"Product ID","ID sản phẩm"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Qty","Số lượng"
"Recent Orders","Đơn đặt hàng gần đây"
"Recovery Link Expiration Period (hours)","Thời gian hết hạn liên kết Phục hồi (giờ)"
"Redirect Customer to Account Dashboard after Logging in","Chuyển hướng khách hàng đến trang tổng quan của tài khoản sau khi đăng nhập"
"Refunded","Đã hoàn trả"
"Registered Customers","Khách hàng đã đăng ký"
"Remind Email Template","Mẫu Email Nhắc nhở"
"Remove","Loại bỏ"
"Require Emails Confirmation","Yêu cầu xác nhận email"
"Reset a Password","Đặt lại mật khẩu"
"SKU","MÃ SẢN PHẨM"
"Sales Statistics","Số liệu thống kê bán hàng"
"Save","Lưu lại"
"Save Address","Lưu địa chỉ"
"Save Customer","Lưu khách hàng"
"Save Customer Group","Lưu nhóm khách hàng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Send From","Gửi từ"
"Send confirmation link","Gửi liên kết xác nhận"
"Sending","Đang gửi"
"Sent","Đã gửi"
"Share Customer Accounts","Chia sẻ tài khoản khách hàng"
"Shopping Cart","Giỏ mua hàng"
"Show Date of Birth","Hiển thị ngày tháng năm sinh"
"Show Gender","Hiển thị giới tính"
"Show Middle Name (initial)","Hiển thị tên đệm (ban đầu)"
"Show Prefix","Hiển thị tiền tố"
"Show Suffix","Hiển thị các hậu tố"
"Show Tax/VAT Number","Hiển thị số thuế/thuế GTGT"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"State/Province","Bang/tỉnh"
"Status","Trạng thái"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Street Address","Địa chỉ đường"
"Subject","Chủ đề"
"Submit","Gửi"
"Subscribe to Newsletter","Đăng ký nhận bản tin"
"Suffix Dropdown Options","Hậu tố tùy chọn trình đơn xổ dọc"
"Tax Calculation Based On","Tính toán thuế dựa trên"
"Tax Class","Loại thuế"
"Text","Nội dung"
"The VAT ID entered (%s) is not a valid VAT ID.","ID thuế VAT được nhập (%s) không phải là một thuế VAT ID hợp lệ."
"The VAT ID is valid. The current Customer Group will be used.","ID thuế VAT là hợp lệ. Nhóm khách hàng hiện tại sẽ được sử dụng."
"The customer does not have default billing address.","Khách hàng không có địa chỉ thanh toán mặc định."
"The suffix that goes after name (Jr., Sr., etc.)","Các hậu tố đi sau khi tên (Jr., Sr, vv)"
"The title that goes before name (Mr., Mrs., etc.)","Tiêu đề đi trước tên (ông, bà, vv)"
"This email does not require confirmation.","Email này không yêu cầu xác nhận."
"Total","Tổng"
"Type","Loại"
"Unknown","Không xác định"
"Unsubscribe from Newsletter","Bỏ Đăng ký nhận bản tin"
"Update","Cập nhật"
"Use as my default billing address","Sử dụng như địa chỉ thanh toán mặc định của tôi"
"Use as my default shipping address","Sử dụng như địa chỉ vận chuyển mặc định của tôi"
"VAT Number","Số VAT"
"VAT Request Date","Ngày yêu cầu VAT"
"VAT Request Identifier","Yêu cầu xác nhận VAT"
"Validate VAT Number","Xác nhận số thuế GTGT"
"Validate on Each Transaction","Xác nhận trên mỗi giao dịch"
"Validation Error Group","Xác nhận lỗi nhóm"
"View","Hiển thị"
"View Order","Xem đơn đặt hàng"
"Visitor","Lượt truy cập"
"Website","Trang web"
"Welcome Email","Email Chào mừng"
"Wishlist","Danh sách yêu thích"
"Would you like to change the Customer Group for this order?","Bạn có muốn thay đổi nhóm khách hàng cho các đơn đặt hàng này?"
"Wrong email.","Email sai."
"Year","Năm"
"You have no default billing address in your address book.","Bạn có không có địa chỉ thanh toán mặc định trong sổ địa chỉ của bạn."
"You have no default shipping address in your address book.","Bạn có không có địa chỉ nhận hàng mặc định trong sổ địa chỉ của bạn."
"You have not set a default billing address.","Bạn không có thiết lập địa chỉ vận chuyển mặc định."
"You have not set a default shipping address.","Bạn không có thiết lập địa chỉ vận chuyển mặc định."
"You will be charged tax.","Bạn sẽ phải trả thuế."
"You will not be charged tax.","Bạn sẽ không phải trả thuế."
"Your Tax ID cannot be validated.","ID Thuế của bạn không thể được xác nhận."
"Your VAT ID was successfully validated.","ID VAT của bạn đã được xác nhận thành công."
"ZIP","SỐ ZIP"
"ZIP/Post Code","Số ZIP/Post Code"
"Zip/Postal Code","Mã bưu chính"
"or","hoặc"
